"","Date","Solar_radiation","Method","Comments","Site"
"262",2012-10-15,175.833333333333,"VantagePro","","SEGC"
"263",2012-10-16,197.6875,"VantagePro","","SEGC"
"264",2012-10-17,190.083333333333,"VantagePro","","SEGC"
"265",2012-10-18,184.270833333333,"VantagePro","","SEGC"
"266",2012-10-19,146.083333333333,"VantagePro","","SEGC"
"267",2012-10-20,140.916666666667,"VantagePro","","SEGC"
"268",2012-10-21,187,"VantagePro","","SEGC"
"269",2012-10-22,175.5625,"VantagePro","","SEGC"
"270",2012-10-23,78.2916666666667,"VantagePro","","SEGC"
"271",2012-10-24,101.125,"VantagePro","","SEGC"
"272",2012-10-25,219.145833333333,"VantagePro","","SEGC"
"273",2012-10-26,235.208333333333,"VantagePro","","SEGC"
"274",2012-10-27,172.270833333333,"VantagePro","","SEGC"
"275",2012-10-28,240.3125,"VantagePro","","SEGC"
"276",2012-10-29,165.833333333333,"VantagePro","","SEGC"
"277",2012-10-30,235.625,"VantagePro","","SEGC"
"278",2012-10-31,197.208333333333,"VantagePro","","SEGC"
"279",2012-11-01,212.291666666667,"VantagePro","","SEGC"
"280",2012-11-02,134.520833333333,"VantagePro","","SEGC"
"281",2012-11-03,186.729166666667,"VantagePro","","SEGC"
"282",2012-11-04,215.75,"VantagePro","","SEGC"
"283",2012-11-05,212.666666666667,"VantagePro","","SEGC"
"284",2012-11-06,151.708333333333,"VantagePro","","SEGC"
"285",2012-11-07,170.625,"VantagePro","","SEGC"
"286",2012-11-08,176.8125,"VantagePro","","SEGC"
"287",2012-11-09,246.4375,"VantagePro","","SEGC"
"288",2012-11-10,216.479166666667,"VantagePro","","SEGC"
"289",2012-11-11,229.645833333333,"VantagePro","","SEGC"
"290",2012-11-12,205.041666666667,"VantagePro","","SEGC"
"291",2012-11-13,197.666666666667,"VantagePro","","SEGC"
"292",2012-11-14,230.229166666667,"VantagePro","","SEGC"
"293",2012-11-15,144.833333333333,"VantagePro","","SEGC"
"294",2012-11-16,161.25,"VantagePro","","SEGC"
"295",2012-11-17,143.6875,"VantagePro","","SEGC"
"296",2012-11-18,142.083333333333,"VantagePro","","SEGC"
"297",2012-11-19,75.8333333333333,"VantagePro","","SEGC"
"298",2012-11-20,226.416666666667,"VantagePro","","SEGC"
"299",2012-11-21,193.25,"VantagePro","","SEGC"
"300",2012-11-22,182.8125,"VantagePro","","SEGC"
"301",2012-11-23,192.291666666667,"VantagePro","","SEGC"
"302",2012-11-24,177.375,"VantagePro","","SEGC"
"303",2012-11-25,115.041666666667,"VantagePro","","SEGC"
"304",2012-11-26,136.791666666667,"VantagePro","","SEGC"
"305",2012-11-27,173.8125,"VantagePro","","SEGC"
"306",2012-11-28,180.520833333333,"VantagePro","","SEGC"
"307",2012-11-29,243.354166666667,"VantagePro","","SEGC"
"308",2012-11-30,196.604166666667,"VantagePro","","SEGC"
"309",2012-12-01,116.229166666667,"VantagePro","","SEGC"
"310",2012-12-02,60.8125,"VantagePro","","SEGC"
"311",2012-12-03,205.458333333333,"VantagePro","","SEGC"
"312",2012-12-04,125.4375,"VantagePro","","SEGC"
"313",2012-12-05,152.375,"VantagePro","","SEGC"
"314",2012-12-06,170.104166666667,"VantagePro","","SEGC"
"315",2012-12-07,185.520833333333,"VantagePro","","SEGC"
"316",2012-12-08,119.9375,"VantagePro","","SEGC"
"317",2012-12-09,192.354166666667,"VantagePro","","SEGC"
"318",2012-12-10,236.833333333333,"VantagePro","","SEGC"
"319",2012-12-11,177.3125,"VantagePro","","SEGC"
"320",2012-12-12,208.229166666667,"VantagePro","","SEGC"
"321",2012-12-13,103.083333333333,"VantagePro","","SEGC"
"322",2012-12-14,171.708333333333,"VantagePro","","SEGC"
"323",2012-12-15,156.833333333333,"VantagePro","","SEGC"
"324",2012-12-16,192,"VantagePro","","SEGC"
"325",2012-12-17,221.4375,"VantagePro","","SEGC"
"326",2012-12-18,163.25,"VantagePro","","SEGC"
"327",2012-12-19,78.1458333333333,"VantagePro","","SEGC"
"328",2012-12-20,141.770833333333,"VantagePro","","SEGC"
"329",2012-12-21,176.020833333333,"VantagePro","","SEGC"
"330",2012-12-22,183.958333333333,"VantagePro","","SEGC"
"331",2012-12-23,173.395833333333,"VantagePro","","SEGC"
"332",2012-12-24,169.458333333333,"VantagePro","","SEGC"
"333",2012-12-25,107.125,"VantagePro","","SEGC"
"334",2012-12-26,157.458333333333,"VantagePro","","SEGC"
"335",2012-12-27,100.791666666667,"VantagePro","","SEGC"
"336",2012-12-28,178.895833333333,"VantagePro","","SEGC"
"337",2012-12-29,206.729166666667,"VantagePro","","SEGC"
"338",2012-12-30,144.6875,"VantagePro","","SEGC"
"339",2012-12-31,95.4791666666667,"VantagePro","","SEGC"
"340",2013-01-01,188.416666666667,"VantagePro","","SEGC"
"341",2013-01-02,135.8125,"VantagePro","","SEGC"
"342",2013-01-03,160.729166666667,"VantagePro","","SEGC"
"343",2013-01-04,192.479166666667,"VantagePro","","SEGC"
"344",2013-01-05,213.541666666667,"VantagePro","","SEGC"
"345",2013-01-06,197.041666666667,"VantagePro","","SEGC"
"346",2013-01-07,180.416666666667,"VantagePro","","SEGC"
"347",2013-01-08,130.895833333333,"VantagePro","","SEGC"
"348",2013-01-09,177.416666666667,"VantagePro","","SEGC"
"349",2013-01-10,203.833333333333,"VantagePro","","SEGC"
"350",2013-01-11,188.104166666667,"VantagePro","","SEGC"
"351",2013-01-12,132.958333333333,"VantagePro","","SEGC"
"352",2013-01-13,162.520833333333,"VantagePro","","SEGC"
"353",2013-01-14,152.145833333333,"VantagePro","","SEGC"
"354",2013-01-15,168.104166666667,"VantagePro","","SEGC"
"355",2013-01-16,41.0625,"VantagePro","","SEGC"
"356",2013-01-17,203.229166666667,"VantagePro","","SEGC"
"357",2013-01-18,48.8333333333333,"VantagePro","","SEGC"
"358",2013-01-19,243.229166666667,"VantagePro","","SEGC"
"359",2013-01-20,252.916666666667,"VantagePro","","SEGC"
"360",2013-01-21,202.145833333333,"VantagePro","","SEGC"
"361",2013-01-22,155.833333333333,"VantagePro","","SEGC"
"362",2013-01-23,178.333333333333,"VantagePro","","SEGC"
"363",2013-01-24,179.604166666667,"VantagePro","","SEGC"
"364",2013-01-25,251.895833333333,"VantagePro","","SEGC"
"365",2013-01-26,236.166666666667,"VantagePro","","SEGC"
"366",2013-01-27,188.25,"VantagePro","","SEGC"
"367",2013-01-28,259.5,"VantagePro","","SEGC"
"368",2013-01-29,207.145833333333,"VantagePro","","SEGC"
"369",2013-01-30,153.958333333333,"VantagePro","","SEGC"
"370",2013-01-31,251.9375,"VantagePro","","SEGC"
"371",2013-02-01,161.8125,"VantagePro","","SEGC"
"372",2013-02-02,215.416666666667,"VantagePro","","SEGC"
"373",2013-02-03,260.166666666667,"VantagePro","","SEGC"
"374",2013-02-04,217.020833333333,"VantagePro","","SEGC"
"375",2013-02-05,224,"VantagePro","","SEGC"
"376",2013-02-06,215.75,"VantagePro","","SEGC"
"377",2013-02-07,159.125,"VantagePro","","SEGC"
"378",2013-02-08,185.0625,"VantagePro","","SEGC"
"379",2013-02-09,148.5625,"VantagePro","","SEGC"
"380",2013-02-10,181.1875,"VantagePro","","SEGC"
"381",2013-02-11,139.166666666667,"VantagePro","","SEGC"
"382",2013-02-12,169.3125,"VantagePro","","SEGC"
"383",2013-02-13,234.6875,"VantagePro","","SEGC"
"384",2013-02-14,241.416666666667,"VantagePro","","SEGC"
"385",2013-02-15,185.854166666667,"VantagePro","","SEGC"
"386",2013-02-16,233.645833333333,"VantagePro","","SEGC"
"387",2013-02-17,154.916666666667,"VantagePro","","SEGC"
"388",2013-02-18,187.041666666667,"VantagePro","","SEGC"
"389",2013-02-19,219.229166666667,"VantagePro","","SEGC"
"390",2013-02-20,233.854166666667,"VantagePro","","SEGC"
"391",2013-02-21,264.3125,"VantagePro","","SEGC"
"392",2013-02-22,234.875,"VantagePro","","SEGC"
"393",2013-02-23,201.5,"VantagePro","","SEGC"
"394",2013-02-24,114.104166666667,"VantagePro","","SEGC"
"395",2013-02-25,214.875,"VantagePro","","SEGC"
"396",2013-02-26,213.1875,"VantagePro","","SEGC"
"397",2013-02-27,103.645833333333,"VantagePro","","SEGC"
"398",2013-02-28,237.9375,"VantagePro","","SEGC"
"399",2013-03-01,215,"VantagePro","","SEGC"
"400",2013-03-02,197.25,"VantagePro","","SEGC"
"401",2013-03-03,221.9375,"VantagePro","","SEGC"
"402",2013-03-04,208.625,"VantagePro","","SEGC"
"403",2013-03-05,259.9375,"VantagePro","","SEGC"
"404",2013-03-06,155.916666666667,"VantagePro","","SEGC"
"405",2013-03-07,242.4375,"VantagePro","","SEGC"
"406",2013-03-08,190.145833333333,"VantagePro","","SEGC"
"407",2013-03-09,132.895833333333,"VantagePro","","SEGC"
"408",2013-03-10,213.354166666667,"VantagePro","","SEGC"
"409",2013-03-11,170.020833333333,"VantagePro","","SEGC"
"410",2013-03-12,195.645833333333,"VantagePro","","SEGC"
"411",2013-03-13,279.75,"VantagePro","","SEGC"
"412",2013-03-14,212.041666666667,"VantagePro","","SEGC"
"413",2013-03-15,251.75,"VantagePro","","SEGC"
"414",2013-03-16,197.8125,"VantagePro","","SEGC"
"415",2013-03-17,207.854166666667,"VantagePro","","SEGC"
"416",2013-03-18,271.625,"VantagePro","","SEGC"
"417",2013-03-19,233.458333333333,"VantagePro","","SEGC"
"418",2013-03-20,228.5,"VantagePro","","SEGC"
"419",2013-03-21,157,"VantagePro","","SEGC"
"420",2013-03-22,222.458333333333,"VantagePro","","SEGC"
"421",2013-03-23,160.479166666667,"VantagePro","","SEGC"
"422",2013-03-24,221.604166666667,"VantagePro","","SEGC"
"423",2013-03-25,151.333333333333,"VantagePro","","SEGC"
"424",2013-03-26,241.416666666667,"VantagePro","","SEGC"
"425",2013-03-27,214.645833333333,"VantagePro","","SEGC"
"426",2013-03-28,251.0625,"VantagePro","","SEGC"
"427",2013-03-29,244.4375,"VantagePro","","SEGC"
"428",2013-03-30,219.25,"VantagePro","","SEGC"
"429",2013-03-31,239.25,"VantagePro","","SEGC"
"430",2013-04-01,225.958333333333,"VantagePro","","SEGC"
"431",2013-04-02,253.708333333333,"VantagePro","","SEGC"
"432",2013-04-03,199.25,"VantagePro","","SEGC"
"433",2013-04-04,267.104166666667,"VantagePro","","SEGC"
"434",2013-04-05,171.416666666667,"VantagePro","","SEGC"
"435",2013-04-06,225.75,"VantagePro","","SEGC"
"436",2013-04-07,90.1666666666667,"VantagePro","","SEGC"
"437",2013-04-08,169.9375,"VantagePro","","SEGC"
"438",2013-04-09,228.895833333333,"VantagePro","","SEGC"
"439",2013-04-10,120.8125,"VantagePro","","SEGC"
"440",2013-04-11,250.041666666667,"VantagePro","","SEGC"
"441",2013-04-12,247.979166666667,"VantagePro","","SEGC"
"442",2013-04-13,194.625,"VantagePro","","SEGC"
"443",2013-04-14,247.979166666667,"VantagePro","","SEGC"
"444",2013-04-15,190.708333333333,"VantagePro","","SEGC"
"445",2013-04-16,207.895833333333,"VantagePro","","SEGC"
"446",2013-04-17,202.229166666667,"VantagePro","","SEGC"
"447",2013-04-18,269.125,"VantagePro","","SEGC"
"448",2013-04-19,200.520833333333,"VantagePro","","SEGC"
"449",2013-04-20,217.25,"VantagePro","","SEGC"
"450",2013-04-21,218.145833333333,"VantagePro","","SEGC"
