"","X","Date","Temperature_c","Type","Method","Site","Comments"
"22108",11192,"2015-06-02",22.483,"Min","TinyTag","SEGC",""
"22109",11193,"2015-06-03",22.802,"Min","TinyTag","SEGC",""
"22110",11194,"2015-06-04",22.706,"Min","TinyTag","SEGC",""
"22111",11195,"2015-06-05",22.496,"Min","TinyTag","SEGC",""
"22112",11196,"2015-06-06",21.826,"Min","TinyTag","SEGC",""
"22113",11197,"2015-06-07",22.34,"Min","TinyTag","SEGC",""
"22114",11198,"2015-06-08",22.035,"Min","TinyTag","SEGC",""
"22115",11199,"2015-06-09",22.415,"Min","TinyTag","SEGC",""
"22116",11200,"2015-06-10",21.995,"Min","TinyTag","SEGC",""
"22117",112011,"2015-06-11",22.261,"Min","TinyTag","SEGC",""
"22118",11202,"2015-06-12",21.522,"Min","TinyTag","SEGC",""
"22119",11203,"2015-06-13",20.847,"Min","TinyTag","SEGC",""
"22120",11204,"2015-06-14",22.291,"Min","TinyTag","SEGC",""
"22121",11205,"2015-06-15",21.789,"Min","TinyTag","SEGC",""
"22122",11206,"2015-06-16",20.909,"Min","TinyTag","SEGC",""
"22123",11207,"2015-06-17",20.104,"Min","TinyTag","SEGC",""
"22124",11208,"2015-06-18",19.251,"Min","TinyTag","SEGC",""
"22125",11209,"2015-06-19",21.571,"Min","TinyTag","SEGC",""
"22126",112101,"2015-06-20",21.081,"Min","TinyTag","SEGC",""
"22127",112111,"2015-06-21",21.459,"Min","TinyTag","SEGC",""
"22128",11212,"2015-06-22",21.169,"Min","TinyTag","SEGC",""
"22129",11213,"2015-06-23",20.15,"Min","TinyTag","SEGC",""
"22130",11214,"2015-06-24",21.264,"Min","TinyTag","SEGC",""
"22131",11215,"2015-06-25",20.703,"Min","TinyTag","SEGC",""
"22132",11216,"2015-06-26",19.67,"Min","TinyTag","SEGC",""
"22133",11217,"2015-06-27",20.476,"Min","TinyTag","SEGC",""
"22134",11218,"2015-06-28",20.856,"Min","TinyTag","SEGC",""
"22135",11219,"2015-06-29",21.77,"Min","TinyTag","SEGC",""
"22136",11220,"2015-06-30",20.775,"Min","TinyTag","SEGC",""
"22137",112211,"2015-07-01",22.115,"Min","TinyTag","SEGC",""
"22138",11222,"2015-07-02",21.606,"Min","TinyTag","SEGC",""
"22139",11223,"2015-07-03",21.099,"Min","TinyTag","SEGC",""
"22140",11224,"2015-07-04",21.057,"Min","TinyTag","SEGC",""
"22141",11225,"2015-07-05",21.852,"Min","TinyTag","SEGC",""
"22142",11226,"2015-07-06",22.994,"Min","TinyTag","SEGC",""
"22143",11227,"2015-07-07",23.03,"Min","TinyTag","SEGC",""
"22144",11228,"2015-07-08",22.373,"Min","TinyTag","SEGC",""
"22145",11229,"2015-07-09",22.895,"Min","TinyTag","SEGC",""
"22146",11230,"2015-07-10",22.399,"Min","TinyTag","SEGC",""
"22147",112311,"2015-07-11",22.437,"Min","TinyTag","SEGC",""
"22148",11232,"2015-07-12",22.217,"Min","TinyTag","SEGC",""
"22149",11233,"2015-07-13",20.841,"Min","TinyTag","SEGC",""
"22150",11234,"2015-07-14",21.169,"Min","TinyTag","SEGC",""
"22151",11237,"2015-11-21",24.124,"Min","TinyTag","SEGC",""
"22152",11238,"2015-11-22",21.462,"Min","TinyTag","SEGC",""
"22153",11239,"2015-11-23",21.763,"Min","TinyTag","SEGC",""
"22154",11240,"2015-11-24",21.297,"Min","TinyTag","SEGC",""
"22155",112411,"2015-11-25",21.656,"Min","TinyTag","SEGC",""
"22156",11242,"2015-11-26",23.383,"Min","TinyTag","SEGC",""
"22157",11243,"2015-11-27",23.984,"Min","TinyTag","SEGC",""
"22158",11244,"2015-11-28",21.805,"Min","TinyTag","SEGC",""
"22159",11245,"2015-11-29",21.8,"Min","TinyTag","SEGC",""
"22160",11246,"2015-11-30",22.872,"Min","TinyTag","SEGC",""
"22161",11247,"2015-12-01",22.196,"Min","TinyTag","SEGC",""
"22162",11248,"2015-12-02",21.865,"Min","TinyTag","SEGC",""
"22163",11249,"2015-12-03",23.109,"Min","TinyTag","SEGC",""
"22164",11250,"2015-12-04",23.156,"Min","TinyTag","SEGC",""
"22165",112511,"2015-12-05",22.48,"Min","TinyTag","SEGC",""
"22166",11252,"2015-12-06",23.848,"Min","TinyTag","SEGC",""
"22167",11253,"2015-12-07",23.73,"Min","TinyTag","SEGC",""
"22168",11254,"2015-12-08",22.831,"Min","TinyTag","SEGC",""
"22169",11255,"2015-12-09",22.529,"Min","TinyTag","SEGC",""
"22170",11256,"2015-12-10",24.217,"Min","TinyTag","SEGC",""
"22171",11257,"2015-12-11",23.926,"Min","TinyTag","SEGC",""
"22172",11258,"2015-12-12",22.019,"Min","TinyTag","SEGC",""
"22173",11259,"2015-12-13",22.678,"Min","TinyTag","SEGC",""
"22174",11260,"2015-12-14",23.237,"Min","TinyTag","SEGC",""
"22175",112611,"2015-12-15",23.193,"Min","TinyTag","SEGC",""
"22176",11262,"2015-12-16",23.974,"Min","TinyTag","SEGC",""
"22177",11263,"2015-12-17",22.707,"Min","TinyTag","SEGC",""
"22178",11264,"2015-12-18",22.986,"Min","TinyTag","SEGC",""
"22179",11265,"2015-12-19",22.966,"Min","TinyTag","SEGC",""
"22180",11266,"2015-12-20",23.492,"Min","TinyTag","SEGC",""
"22181",11267,"2015-12-21",23.579,"Min","TinyTag","SEGC",""
"22182",11268,"2015-12-22",23.118,"Min","TinyTag","SEGC",""
"22183",11269,"2015-12-23",23.623,"Min","TinyTag","SEGC",""
"22184",11270,"2015-12-24",23.388,"Min","TinyTag","SEGC",""
"22185",112711,"2015-12-25",21.433,"Min","TinyTag","SEGC",""
"22186",11272,"2015-12-26",23.27,"Min","TinyTag","SEGC",""
"22187",11273,"2015-12-27",23.043,"Min","TinyTag","SEGC",""
"22188",11274,"2015-12-28",24.752,"Min","TinyTag","SEGC",""
"22189",11275,"2015-12-29",24.533,"Min","TinyTag","SEGC",""
"22190",11276,"2015-12-30",22.855,"Min","TinyTag","SEGC",""
"22191",11277,"2015-12-31",23.007,"Min","TinyTag","SEGC",""
"22192",11278,"2016-01-01",22.414,"Min","TinyTag","SEGC",""
"22193",11279,"2016-01-02",24.956,"Min","TinyTag","SEGC",""
"22194",11280,"2016-01-03",24.352,"Min","TinyTag","SEGC",""
"22195",112811,"2016-01-04",24.379,"Min","TinyTag","SEGC",""
"22196",11282,"2016-01-05",24.266,"Min","TinyTag","SEGC",""
"22197",11283,"2016-01-06",24.959,"Min","TinyTag","SEGC",""
"22198",11284,"2016-01-07",24.953,"Min","TinyTag","SEGC",""
"22199",11285,"2016-01-08",24.672,"Min","TinyTag","SEGC",""
"22200",11286,"2016-01-09",24.277,"Min","TinyTag","SEGC",""
"22201",11287,"2016-01-10",25.152,"Min","TinyTag","SEGC",""
"22202",11288,"2016-01-11",24.269,"Min","TinyTag","SEGC",""
"22203",11289,"2016-01-12",23.914,"Min","TinyTag","SEGC",""
"22204",11290,"2016-01-13",25.519,"Min","TinyTag","SEGC",""
"22205",112911,"2016-01-14",24.234,"Min","TinyTag","SEGC",""
"22206",11292,"2016-01-15",24.188,"Min","TinyTag","SEGC",""
"22207",11293,"2016-01-16",22.113,"Min","TinyTag","SEGC",""
"22208",11294,"2016-01-17",22.203,"Min","TinyTag","SEGC",""
"22209",11295,"2016-01-18",23.72,"Min","TinyTag","SEGC",""
"22210",11296,"2016-01-19",24.734,"Min","TinyTag","SEGC",""
"22211",11297,"2016-01-20",24.635,"Min","TinyTag","SEGC",""
"22212",11298,"2016-01-21",22.849,"Min","TinyTag","SEGC",""
"22213",11299,"2016-01-22",24.015,"Min","TinyTag","SEGC",""
"22214",11300,"2016-01-23",24.17,"Min","TinyTag","SEGC",""
"22215",113011,"2016-01-24",24.076,"Min","TinyTag","SEGC",""
"22216",11302,"2016-01-25",23.543,"Min","TinyTag","SEGC",""
"22217",11303,"2016-01-26",23.904,"Min","TinyTag","SEGC",""
"22218",11304,"2016-01-27",23.096,"Min","TinyTag","SEGC",""
"22219",11305,"2016-01-28",22.682,"Min","TinyTag","SEGC",""
"22220",11306,"2016-01-29",22.568,"Min","TinyTag","SEGC",""
"22221",11307,"2016-01-30",23.493,"Min","TinyTag","SEGC",""
"22222",11308,"2016-01-31",24.192,"Min","TinyTag","SEGC",""
"22223",11309,"2016-02-01",24.262,"Min","TinyTag","SEGC",""
"22224",113101,"2016-02-02",23.829,"Min","TinyTag","SEGC",""
"22225",113111,"2016-02-03",25.357,"Min","TinyTag","SEGC",""
"22226",11312,"2016-02-04",25.663,"Min","TinyTag","SEGC",""
"22227",11313,"2016-02-05",23.379,"Min","TinyTag","SEGC",""
"22228",11314,"2016-02-06",23.031,"Min","TinyTag","SEGC",""
"22229",11315,"2016-02-07",24.8,"Min","TinyTag","SEGC",""
"22230",11316,"2016-02-08",24.936,"Min","TinyTag","SEGC",""
"22231",11317,"2016-02-09",23.035,"Min","TinyTag","SEGC",""
